Wavelength (nm),Spectral irradiance (W m-2 nm-1),Cumulative photon flux (cm-2 s-1)
280,4.72E-23,3.32449E-09
281,4.21425E-20,5.96106E-06
282,1.7665E-18,0.000256582
283,1.91575E-17,0.002984179
284,9.91325E-16,0.144625263
285,1.524E-14,2.329792448
286,2.87625E-13,43.71522587
287,4.299E-12,664.4472976
288,7.6575E-11,11759.62689
289,8.4075E-10,134001.3778
290,6.9425E-09,1146906.412
291,4.8175E-08,8199836.117
292,2.6775E-07,47533751.03
293,1.1025E-06,210051598.5
294,4.2875E-06,844222493.8
295,1.47175E-05,3028515542
296,0.0000486,10265919663
297,0.000112525,27079504285
298,0.00028025,69095700100
299,0.00054925,1.51718E+11
300,0.0010145,3.04836E+11
301,0.001925,5.96346E+11
302,0.0032,1.08254E+12
303,0.006875,2.13056E+12
304,0.009925,3.64852E+12
305,0.01585,6.08063E+12
306,0.019175,9.0326E+12
307,0.028025,1.33611E+13
308,0.03805,1.92572E+13
309,0.041325,2.56815E+13
310,0.052525,3.38733E+13
311,0.078625,4.61753E+13
312,0.092175,6.06438E+13
313,0.104925,7.71664E+13
314,0.11875,9.59257E+13
315,0.13,1.16528E+14
316,0.1285,1.36957E+14
317,0.1685,1.63829E+14
318,0.17925,1.92507E+14
319,0.197,2.24123E+14
320,0.2125,2.58334E+14
321,0.24575,2.98022E+14
322,0.22425,3.3435E+14
323,0.22225,3.70466E+14
324,0.27,4.14477E+14
325,0.29025,4.61935E+14
326,0.37225,5.22988E+14
327,0.396,5.88136E+14
328,0.36375,6.48161E+14
329,0.42,7.17679E+14
330,0.4585,7.93801E+14
331,0.412,8.62409E+14
332,0.43125,9.34441E+14
333,0.425,1.00564E+15
334,0.4195,1.07613E+15
335,0.4555,1.1529E+15
336,0.41525,1.2231E+15
337,0.3815,1.28778E+15
338,0.42975,1.36086E+15
339,0.46275,1.43978E+15
340,0.493,1.52411E+15
341,0.47675,1.6059E+15
342,0.4875,1.68978E+15
343,0.50425,1.77679E+15
344,0.43025,1.85126E+15
345,0.4515,1.92962E+15
346,0.48125,2.01339E+15
347,0.4865,2.09833E+15
348,0.47625,2.18171E+15
349,0.47175,2.26454E+15
350,0.52375,2.35676E+15
351,0.54875,2.45367E+15
352,0.51225,2.54438E+15
353,0.52425,2.63748E+15
354,0.59675,2.74376E+15
355,0.60475,2.85177E+15
356,0.55275,2.95077E+15
357,0.47225,3.03559E+15
358,0.42925,3.1129E+15
359,0.4745,3.19861E+15
360,0.58,3.30365E+15
361,0.5275,3.39946E+15
362,0.53925,3.49767E+15
363,0.59175,3.60573E+15
364,0.59825,3.71529E+15
365,0.63175,3.8313E+15
366,0.721,3.96406E+15
367,0.72075,4.09714E+15
368,0.675,4.22211E+15
369,0.6965,4.35141E+15
370,0.7325,4.48776E+15
371,0.69525,4.61753E+15
372,0.67625,4.7441E+15
373,0.60775,4.85814E+15
374,0.55425,4.96243E+15
375,0.59425,5.07454E+15
376,0.6645,5.20024E+15
377,0.7185,5.33652E+15
378,0.833,5.49493E+15
379,0.74525,5.63704E+15
380,0.703,5.77143E+15
381,0.73975,5.91323E+15
382,0.5905,6.02672E+15
383,0.46325,6.11598E+15
384,0.51675,6.21581E+15
385,0.6495,6.34161E+15
386,0.631,6.46415E+15
387,0.646,6.58993E+15
388,0.6345,6.71378E+15
389,0.6885,6.84853E+15
390,0.78725,7.00299E+15
391,0.84,7.16823E+15
392,0.777,7.32147E+15
393,0.49925,7.42018E+15
394,0.5125,7.52177E+15
395,0.7875,7.67826E+15
396,0.72875,7.82345E+15
397,0.50675,7.92466E+15
398,0.832,8.09126E+15
399,1.06,8.30404E+15
400,1.11375,8.52817E+15
401,1.15875,8.76194E+15
402,1.19,9.00261E+15
403,1.1675,9.23932E+15
404,1.17375,9.47789E+15
405,1.15,9.71221E+15
406,1.12125,9.94124E+15
407,1.10875,1.01683E+16
408,1.15375,1.04051E+16
409,1.1975,1.06515E+16
410,1.0875,1.08758E+16
411,1.16375,1.11165E+16
412,1.225,1.13704E+16
413,1.195,1.16187E+16
414,1.18625,1.18657E+16
415,1.22,1.21205E+16
416,1.25125,1.23823E+16
417,1.22625,1.26396E+16
418,1.18375,1.28885E+16
419,1.20125,1.31418E+16
420,1.15125,1.3385E+16
421,1.24875,1.36495E+16
422,1.2475,1.39144E+16
423,1.215,1.41729E+16
424,1.215,1.44321E+16
425,1.24,1.46972E+16
426,1.21,1.49566E+16
427,1.17625,1.52093E+16
428,1.1675,1.54606E+16
429,1.074,1.56925E+16
430,0.88925,1.58848E+16
431,0.868,1.6073E+16
432,1.24275,1.63431E+16
433,1.22875,1.66108E+16
434,1.15625,1.68633E+16
435,1.24125,1.71349E+16
436,1.34875,1.74308E+16
437,1.365,1.77309E+16
438,1.235,1.8003E+16
439,1.19875,1.82678E+16
440,1.325,1.85611E+16
441,1.34375,1.88592E+16
442,1.41125,1.9173E+16
443,1.4325,1.94923E+16
444,1.4125,1.98078E+16
445,1.43375,2.01288E+16
446,1.35125,2.0432E+16
447,1.46875,2.07623E+16
448,1.49875,2.11001E+16
449,1.5075,2.14406E+16
450,1.55875,2.17935E+16
451,1.595,2.21554E+16
452,1.535,2.25045E+16
453,1.45625,2.28364E+16
454,1.51625,2.31827E+16
455,1.5275,2.35324E+16
456,1.565,2.38914E+16
457,1.575,2.42535E+16
458,1.55125,2.4611E+16
459,1.53125,2.49646E+16
460,1.52875,2.53184E+16
461,1.57375,2.56834E+16
462,1.59,2.60529E+16
463,1.5925,2.64239E+16
464,1.55375,2.67866E+16
465,1.53625,2.7146E+16
466,1.5475,2.75088E+16
467,1.5075,2.7863E+16
468,1.55125,2.82282E+16
469,1.5525,2.85945E+16
470,1.51125,2.89519E+16
471,1.53625,2.93159E+16
472,1.5925,2.96941E+16
473,1.55875,3.0065E+16
474,1.565,3.04382E+16
475,1.5975,3.082E+16
476,1.5675,3.11953E+16
477,1.575,3.15733E+16
478,1.61,3.19605E+16
479,1.59625,3.23451E+16
480,1.6075,3.27333E+16
481,1.61125,3.31232E+16
482,1.61625,3.35152E+16
483,1.59875,3.39037E+16
484,1.5725,3.42866E+16
485,1.525,3.46587E+16
486,1.325,3.49827E+16
487,1.41625,3.53296E+16
488,1.51375,3.57013E+16
489,1.4825,3.6066E+16
490,1.59125,3.64583E+16
491,1.5575,3.6843E+16
492,1.50375,3.72152E+16
493,1.57125,3.7605E+16
494,1.56625,3.79942E+16
495,1.61875,3.83973E+16
496,1.57375,3.87901E+16
497,1.58125,3.91854E+16
498,1.555,3.9575E+16
499,1.54875,3.99638E+16
500,1.535,4.035E+16
501,1.49625,4.07271E+16
502,1.49875,4.11056E+16
503,1.5375,4.14947E+16
504,1.4775,4.18693E+16
505,1.55375,4.22641E+16
506,1.60375,4.26724E+16
507,1.55375,4.30687E+16
508,1.52375,4.34581E+16
509,1.56625,4.38592E+16
510,1.54875,4.42566E+16
511,1.57125,4.46605E+16
512,1.59375,4.5071E+16
513,1.52625,4.5465E+16
514,1.49125,4.58506E+16
515,1.525,4.62457E+16
516,1.50375,4.66361E+16
517,1.3175,4.69788E+16
518,1.41125,4.73465E+16
519,1.4125,4.77154E+16
520,1.505,4.81091E+16
521,1.5325,4.85108E+16
